BCN,Article,Size,Brand,Colour,MRP,SalesPrice,TotalQty,ItemCode,ItemName
G004PX,SHIRT,32,HIG,,510.0,410.0,1.0,1326,SHIRT BOYS F/S
G004PY,SHIRT,32,HIG,,650.0,550.0,1.0,1326,SHIRT BOYS F/S
G004PZ,SHIRT,32,HIG,,500.0,400.0,1.0,1326,SHIRT BOYS F/S
G004Q1,SHIRT,32,HIG,,520.0,420.0,1.0,1326,SHIRT BOYS F/S
G004Q2,SHIRT,32,ANG,,560.0,460.0,1.0,1326,SHIRT BOYS F/S
G004Q3,SHIRT,32,ANG,,560.0,460.0,1.0,1326,SHIRT BOYS F/S
G004Q5,SHIRT,32,ANG,,580.0,480.0,1.0,1326,SHIRT BOYS F/S
G004Q6,SHIRT,32,ANG,,420.0,320.0,1.0,1326,SHIRT BOYS F/S
G004Q7,SHIRT,32,ANG,,450.0,350.0,1.0,1326,SHIRT BOYS F/S
G004Q8,SHIRT,XL,ELEVEN,,1000.0,600.0,1.0,1329,SHIRT GENTS F/S
G004QA,SHIRT,32,ANG,,600.0,500.0,1.0,1326,SHIRT BOYS F/S
G004QC,SHIRT,30,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004QD,SHIRT,30,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004QF,SHIRT,30,HIG,,500.0,400.0,1.0,1326,SHIRT BOYS F/S
G004QG,SHIRT,30,HIG,,610.0,510.0,1.0,1326,SHIRT BOYS F/S
G004QH,SHIRT,30,HIG,,550.0,450.0,1.0,1326,SHIRT BOYS F/S
G004QI,SHIRT,30,HIG,,540.0,440.0,1.0,1326,SHIRT BOYS F/S
G004QJ,SHIRT,30,HIG,,480.0,380.0,1.0,1326,SHIRT BOYS F/S
G004QK,SHIRT,30,HIG,,480.0,380.0,1.0,1326,SHIRT BOYS F/S
G004QL,SHIRT,30,HIG,,480.0,380.0,1.0,1326,SHIRT BOYS F/S
G004QM,SHIRT,30,HIG,,590.0,490.0,1.0,1326,SHIRT BOYS F/S
G004QN,SHIRT,30,HIG,,500.0,400.0,1.0,1326,SHIRT BOYS F/S
G004QO,SHIRT,30,HIG,,500.0,400.0,1.0,1326,SHIRT BOYS F/S
G004QP,SHIRT,30,HIG,,500.0,400.0,1.0,1326,SHIRT BOYS F/S
G004QQ,6196,22,JEANS TOP,,840.0,740.0,1.0,1280,GIRLS DRESS
G004QS,SHIRT,30,ANG,,580.0,480.0,1.0,1326,SHIRT BOYS F/S
G004QT,SHIRT,30,ANG,,380.0,280.0,1.0,1326,SHIRT BOYS F/S
G004QU,SHIRT,30,ANG,,380.0,280.0,1.0,1326,SHIRT BOYS F/S
G004QW,SHIRT,28,HIG,,480.0,380.0,1.0,1326,SHIRT BOYS F/S
G004QX,SHIRT,28,HIG,,480.0,380.0,1.0,1326,SHIRT BOYS F/S
G004R0,SHIRT,28,HIG,,490.0,390.0,1.0,1326,SHIRT BOYS F/S
G004R1,SHIRT,28,HIG,,540.0,440.0,1.0,1326,SHIRT BOYS F/S
G004R2,SHIRT,28,HIG,,480.0,380.0,1.0,1326,SHIRT BOYS F/S
G004R3,SHIRT,28,HIG,,510.0,410.0,1.0,1326,SHIRT BOYS F/S
G004R4,SHIRT,28,HIG,,490.0,390.0,1.0,1326,SHIRT BOYS F/S
G004R5,SHIRT,28,HIG,,490.0,390.0,1.0,1326,SHIRT BOYS F/S
G004R7,SHIRT,28,4G,,350.0,250.0,1.0,1326,SHIRT BOYS F/S
G004R8,SHIRT,28,4G,,350.0,250.0,1.0,1326,SHIRT BOYS F/S
G004R9,SHIRT,28,4G,,350.0,250.0,1.0,1326,SHIRT BOYS F/S
G004RD,SHIRT,28,ANG,,450.0,350.0,1.0,1326,SHIRT BOYS F/S
G004RE,6155,20,JEANS TOP,,870.0,770.0,1.0,1280,GIRLS DRESS
G004RI,SHIRT,28,ANG,,560.0,460.0,1.0,1326,SHIRT BOYS F/S
G004RK,SHIRT,28,ANG,,560.0,460.0,1.0,1326,SHIRT BOYS F/S
G004RL,SHIRT,28,ANG,,530.0,430.0,1.0,1326,SHIRT BOYS F/S
G004RM,SHIRT,28,ANG,,380.0,280.0,1.0,1326,SHIRT BOYS F/S
G004RN,SHIRT,28,ANG,,370.0,270.0,1.0,1326,SHIRT BOYS F/S
G004RP,SHIRT,26,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004RQ,SHIRT,26,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004RR,SHIRT,26,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004RS,SHIRT,26,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004RU,SHIRT,26,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004RV,SHIRT,26,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004RW,SHIRT,26,JP,,300.0,200.0,1.0,1326,SHIRT BOYS F/S
G004RX,SHIRT,26,HIG,,490.0,390.0,1.0,1326,SHIRT BOYS F/S
G004RY,SHIRT,26,HIG,,490.0,390.0,1.0,1326,SHIRT BOYS F/S
G004S0,SHIRT,26,HIG,,610.0,510.0,1.0,1326,SHIRT BOYS F/S
G004S1,SHIRT,26,HIG,,640.0,540.0,1.0,1326,SHIRT BOYS F/S
G004S2,SHIRT,26,HIG,,640.0,540.0,1.0,1326,SHIRT BOYS F/S
G004S3,SHIRT,26,HIG,,490.0,390.0,1.0,1326,SHIRT BOYS F/S
